Genus,0-F-T-A-1,0-F-T-A-2,0-F-T-1,0-F-T-2,0-F-A-1,0-F-A-2,24-F-T-A-1,24-F-T-A-2,24-F-T-1,24-F-T-2,24-F-A-1,24-F-A-2
actinobaculum,0.001077528,0.000796959,0.000768049,0.001011861,0.000242342,0.000252602,0.000128524,4.55913E-05,0.00016771,0.000398307,0,0
dehalococcoides,0.002208933,0.002023051,0.002185986,0.001180505,0.001841799,0.001768213,0.00102819,0.000775052,0.001173971,0.002389843,0.001044005,0.000492999
rhodocyclus,0.000269382,0.000306523,0.000236323,0.000224858,4.84684E-05,0,0,0.000182365,0.000503131,0.00029873,0,0
pseudoalteromonas,0.000700393,0.001226091,0,0,0.00605855,0.005102556,0,4.55913E-05,0,0,0.000574203,4.92999E-05
lacibacter,0.000269382,0.000245218,0.000295404,0.000562145,0,0,0,0.000136774,0.000111807,0,0,4.92999E-05
sporolactobacillus,0,0,0,0,0,0,0.002184903,0.001595696,0.002347943,0.001742594,5.22002E-05,0
daucus,5.38764E-05,0,5.90807E-05,0.000224858,0.000436216,0.000707285,4.28412E-05,0,0,9.95768E-05,0,0
lactococcus,0,6.13046E-05,0,0,0,0,0,0,0.000614937,0.001344287,0,4.92999E-05
garciella,0,0,0,0,4.84684E-05,0.000202081,0.000771142,0.001413331,0.002236136,0.001991536,0.000469802,4.92999E-05
methylocapsa,0.000107753,0.000183914,0.000118161,0.000337287,0,0.000151561,0.000257047,9.11826E-05,0.000391324,0.00029873,0,0
roseomonas,0.00134691,0.002268269,0.002422309,0.001686435,0.000193874,0.000151561,0,0,0,0,0,0
anoxybacillus,0,0,0,0,0,0,0,0,0,0,0,0
megasphaera,0,0,0,0,0,0,4.28412E-05,9.11826E-05,0.000503131,0.000149365,0.001409406,0.000443699
acetanaerobacterium,0,0,0,0,0,0,0.00102819,0.001003009,0.001956619,0.001891959,0.001252806,0.001676198
solitalea,0.002478315,0.002329573,0.001004372,0.001292934,0.016624661,0.014852986,0.000856825,0.000820644,0,4.97884E-05,0.000208801,4.92999E-05
butyrivibrio,0,6.13046E-05,5.90807E-05,0,4.84684E-05,5.05204E-05,0.000257047,0.000273548,0.000559034,0.000697038,0.000991805,0.000542299
holdemania,0,0,0,0,0,0,0,0.000227957,0.000559034,0.000746826,0.000156601,0.0001972
subdoligranulum,0.000484888,0.000490436,0.000354484,0.000393502,4.84684E-05,0,0,0,0,0,0,0
zymophilus,0,0,0,0,0,0,0.00175649,0.002051609,0.000670841,0.000796614,0.000261001,4.92999E-05
desulfitobacterium,0.004579495,0.00349436,0.005080941,0.007420316,0,5.05204E-05,0,0,0.000111807,9.95768E-05,0,0
porphyromonas,0.000215506,0.000122609,0,0,0.000872431,0.001161968,0,0,0,0,0,0
lactuca,0.000646517,0.000429132,0.002717712,0.000674574,0.020017449,0.015055067,0,0,0,0.000149365,0,0
frigoribacterium,0.001400787,0.000919568,0.001122533,0.000843218,0.000242342,0.000404163,8.56825E-05,0.000182365,0.000223614,0.000597461,0,4.92999E-05
cryptanaerobacter,0.000107753,6.13046E-05,0,0,0.000630089,0.000858846,0,0,0,0,0,0
woodsholea,0.006411292,0.006927415,0.006262555,0.009781326,0.003053509,0.002576538,0.000471254,0.000364731,0.000838551,0.001045556,0.000156601,9.85999E-05
nitrosovibrio,0.002747697,0.002574792,0.002894955,0.004272303,0.000145405,0.000101041,0.000128524,9.11826E-05,0.000670841,0.000597461,5.22002E-05,0
flavonifractor,0,0,0,0,0,0,0.000728301,0.000775052,0.000111807,0.000846403,0.001461607,0.000640899
acidovorax,0.006249663,0.007111329,0.005789909,0.00635224,0.00121171,0.00141457,0.000813983,0.001185374,0.006708408,0.004082649,0,4.92999E-05
tumebacillus,0.000700393,0.000613046,0.000886211,0.000787003,0,5.05204E-05,8.56825E-05,0,0.000111807,9.95768E-05,0,0
azospirillum,0.002155056,0.002758705,0.001831502,0.002473439,0.00029081,0,0.000171365,0.000364731,0.000670841,0.00094598,5.22002E-05,0
intestinimonas,0,0,0,0,0,0,0.000985348,0.000820644,0.000782648,0.001344287,0.003654017,0.000936699
sedimentibacter,0,0,0,0,0,0,0.000771142,0.000410322,0.000279517,0.000248942,5.22002E-05,4.92999E-05
prolixibacter,0.000484888,6.13046E-05,0,0,0.001647926,0.001515611,0.000128524,0.000136774,0,0,0.000417602,9.85999E-05
aminobacterium,0,0,0,0,0,0,0.002227744,0.001413331,0.000894454,0.001145133,0.000835204,0.0001479
solobacterium,0.002532191,0.002023051,0,5.62145E-05,0.009596743,0.007628574,0.000171365,0.000410322,0,0,0.000417602,0.0002465
romboutsia,0,0,0,0,0,0,4.28412E-05,0,0,0,0.001305006,0.0002958
coprobacillus,0,0,0,0,0,0,0,4.55913E-05,0.000894454,0.000995768,5.22002E-05,9.85999E-05
rhodovulum,0.000269382,0.000980873,0.000768049,0.00061836,0,5.05204E-05,4.28412E-05,9.11826E-05,0,9.95768E-05,0,0
ramlibacter,0.00059264,0.000735655,0.000531726,0.000168644,0,0,0,4.55913E-05,0.000111807,4.97884E-05,0,0
sulfuritalea,0.005710899,0.00551741,0.006853362,0.007083029,0.000533152,0.000606244,0.000299889,0.000273548,0.002906977,0.002539208,0.000208801,4.92999E-05
dechloromonas,0.002747697,0.002758705,0.0033676,0.003597729,0.001163242,0.001263009,0.005397995,0.005243002,0.009783095,0.008862335,0.000626403,0.0003451
ornatilinea,0.005333764,0.003555665,0.000886211,0.002079937,0.015558356,0.012074366,0.004969583,0.00378408,0.000279517,0.000497884,0.020514694,0.013705384
lachnospira,0,0,0,0,0,0,4.28412E-05,0.000182365,0.001565295,0.000697038,0,4.92999E-05
